infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 2p-s,imperative 1p-p,imperative 2p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,past imperative 2p-s,past imperative 1p-p,past imperative 2p-p,gerund
approuver,to approve (of),False,approuve,approuves,approuve,approuvons,approuvez,approuvent,approuvais,approuvais,approuvait,approuvions,approuviez,approuvaient,approuvai,approuvas,approuva,approuvâmes,approuvâtes,approuvèrent,approuverai,approuveras,approuvera,approuverons,approuverez,approuveront,approuverais,approuverais,approuverait,approuverions,approuveriez,approuveraient,approuve,approuves,approuve,approuvions,approuviez,approuvent,approuvasse,approuvasses,approuvât,approuvassions,approuvassiez,approuvassent,approuve,approuvons,approuvez,ai approuvé,as approuvé,a approuvé,avons approuvé,avez approuvé,ont approuvé,avais approuvé,avais approuvé,avait approuvé,avions approuvé,aviez approuvé,avaient approuvé,aurai approuvé,auras approuvé,aura approuvé,aurons approuvé,aurez approuvé,auront approuvé,aurais approuvé,aurais approuvé,aurait approuvé,aurions approuvé,auriez approuvé,auraient approuvé,aie approuvé,aies approuvé,ait approuvé,ayons approuvé,ayez approuvé,aient approuvé,eusse approuvé,eusses approuvé,eût approuvé,eussions approuvé,eussiez approuvé,eussent approuvé,eus approuvé,eus approuvé,eut approuvé,eûmes approuvé,eûtes approuvé,eurent approuvé,aie approuvé,ayons approuvé,ayez approuvé,approuvant
amener,to take,False,amène,amènes,amène,amenons,amenez,amènent,amenais,amenais,amenait,amenions,ameniez,amenaient,amenai,amenas,amena,amenâmes,amenâtes,amenèrent,amènerai,amèneras,amènera,amènerons,amènerez,amèneront,amènerais,amènerais,amènerait,amènerions,amèneriez,amèneraient,amène,amènes,amène,amenions,ameniez,amènent,amenasse,amenasses,amenât,amenassions,amenassiez,amenassent,amène,amenons,amenez,ai amené,as amené,a amené,avons amené,avez amené,ont amené,avais amené,avais amené,avait amené,avions amené,aviez amené,avaient amené,aurai amené,auras amené,aura amené,aurons amené,aurez amené,auront amené,aurais amené,aurais amené,aurait amené,aurions amené,auriez amené,auraient amené,aie amené,aies amené,ait amené,ayons amené,ayez amené,aient amené,eusse amené,eusses amené,eût amené,eussions amené,eussiez amené,eussent amené,eus amené,eus amené,eut amené,eûmes amené,eûtes amené,eurent amené,aie amené,ayons amené,ayez amené,amenant
arraisonner,to hail,False,arraisonne,arraisonnes,arraisonne,arraisonnons,arraisonnez,arraisonnent,arraisonnais,arraisonnais,arraisonnait,arraisonnions,arraisonniez,arraisonnaient,arraisonnai,arraisonnas,arraisonna,arraisonnâmes,arraisonnâtes,arraisonnèrent,arraisonnerai,arraisonneras,arraisonnera,arraisonnerons,arraisonnerez,arraisonneront,arraisonnerais,arraisonnerais,arraisonnerait,arraisonnerions,arraisonneriez,arraisonneraient,arraisonne,arraisonnes,arraisonne,arraisonnions,arraisonniez,arraisonnent,arraisonnasse,arraisonnasses,arraisonnât,arraisonnassions,arraisonnassiez,arraisonnassent,arraisonne,arraisonnons,arraisonnez,ai arraisonné,as arraisonné,a arraisonné,avons arraisonné,avez arraisonné,ont arraisonné,avais arraisonné,avais arraisonné,avait arraisonné,avions arraisonné,aviez arraisonné,avaient arraisonné,aurai arraisonné,auras arraisonné,aura arraisonné,aurons arraisonné,aurez arraisonné,auront arraisonné,aurais arraisonné,aurais arraisonné,aurait arraisonné,aurions arraisonné,auriez arraisonné,auraient arraisonné,aie arraisonné,aies arraisonné,ait arraisonné,ayons arraisonné,ayez arraisonné,aient arraisonné,eusse arraisonné,eusses arraisonné,eût arraisonné,eussions arraisonné,eussiez arraisonné,eussent arraisonné,eus arraisonné,eus arraisonné,eut arraisonné,eûmes arraisonné,eûtes arraisonné,eurent arraisonné,aie arraisonné,ayons arraisonné,ayez arraisonné,arraisonnant
atteindre,to attain,True,atteins,atteins,atteint,atteignons,atteignez,atteignent,atteignais,atteignais,atteignait,atteignions,atteigniez,atteignaient,atteignis,atteignis,atteignit,atteignîmes,atteignîtes,atteignirent,atteindrai,atteindras,atteindra,atteindrons,atteindrez,atteindront,atteindrais,atteindrais,atteindrait,atteindrions,atteindriez,atteindraient,atteigne,atteignes,atteigne,atteignions,atteigniez,atteignent,atteignisse,atteignisses,atteignît,atteignissions,atteignissiez,atteignissent,atteins,atteignons,atteignez,ai atteint,as atteint,a atteint,avons atteint,avez atteint,ont atteint,avais atteint,avais atteint,avait atteint,avions atteint,aviez atteint,avaient atteint,aurai atteint,auras atteint,aura atteint,aurons atteint,aurez atteint,auront atteint,aurais atteint,aurais atteint,aurait atteint,aurions atteint,auriez atteint,auraient atteint,aie atteint,aies atteint,ait atteint,ayons atteint,ayez atteint,aient atteint,eusse atteint,eusses atteint,eût atteint,eussions atteint,eussiez atteint,eussent atteint,eus atteint,eus atteint,eut atteint,eûmes atteint,eûtes atteint,eurent atteint,aie atteint,ayons atteint,ayez atteint,atteignant
aller,to go,True,vais,vas,va,allons,allez,vont,allais,allais,allait,allions,alliez,allaient,allai,allas,alla,allâmes,allâtes,allèrent,irai,iras,ira,irons,irez,iront,irais,irais,irait,irions,iriez,iraient,aille,ailles,aille,allions,alliez,aillent,allasse,allasses,allât,allassions,allassiez,allassent,va,allons,allez,suis allé,es allé,est allé,sommes allé,êtes allé,sont allé,étais allé,étais allé,était allé,étions allé,étiez allé,étaient allé,serai allé,seras allé,sera allé,serons allé,serez allé,seront allé,serais allé,serais allé,serait allé,serions allé,seriez allé,seraient allé,sois allé,sois allé,soit allé,soyons allé,soyez allé,soient allé,fusse allé,fusses allé,fût allé,fussions allé,fussiez allé,fussent allé,fus allé,fus allé,fut allé,fûmes allé,fûtes allé,fûrent allé,sois allé,soyons allé,soyez allé,allant
apercevoir,to see,True,aperçois,aperçois,aperçoit,apercevons,apercevez,aperçoivent,apercevais,apercevais,apercevait,apercevions,aperceviez,apercevaient,aperçus,aperçus,aperçut,aperçûmes,aperçûtes,aperçurent,apercevrai,apercevras,apercevra,apercevrons,apercevrez,apercevront,apercevrais,apercevrais,apercevrait,apercevrions,apercevriez,apercevraient,aperçoive,aperçoives,aperçoive,apercevions,aperceviez,aperçoivent,aperçusse,aperçusses,aperçût,aperçussions,aperçussiez,aperçussent,aperçois,apercevons,apercevez,ai aperçu,as aperçu,a aperçu,avons aperçu,avez aperçu,ont aperçu,avais aperçu,avais aperçu,avait aperçu,avions aperçu,aviez aperçu,avaient aperçu,aurai aperçu,auras aperçu,aura aperçu,aurons aperçu,aurez aperçu,auront aperçu,aurais aperçu,aurais aperçu,aurait aperçu,aurions aperçu,auriez aperçu,auraient aperçu,aie aperçu,aies aperçu,ait aperçu,ayons aperçu,ayez aperçu,aient aperçu,eusse aperçu,eusses aperçu,eût aperçu,eussions aperçu,eussiez aperçu,eussent aperçu,eus aperçu,eus aperçu,eut aperçu,eûmes aperçu,eûtes aperçu,eurent aperçu,aie aperçu,ayons aperçu,ayez aperçu,apercevant
arrêter,"to stop, arrest",False,arrête,arrêtes,arrête,arrêtons,arrêtez,arrêtent,arrêtais,arrêtais,arrêtait,arrêtions,arrêtiez,arrêtaient,arrêtai,arrêtas,arrêta,arrêtâmes,arrêtâtes,arrêtèrent,arrêterai,arrêteras,arrêtera,arrêterons,arrêterez,arrêteront,arrêterais,arrêterais,arrêterait,arrêterions,arrêteriez,arrêteraient,arrête,arrêtes,arrête,arrêtions,arrêtiez,arrêtent,arrêtasse,arrêtasses,arrêtât,arrêtassions,arrêtassiez,arrêtassent,arrête,arrêtons,arrêtez,ai arrêté,as arrêté,a arrêté,avons arrêté,avez arrêté,ont arrêté,avais arrêté,avais arrêté,avait arrêté,avions arrêté,aviez arrêté,avaient arrêté,aurai arrêté,auras arrêté,aura arrêté,aurons arrêté,aurez arrêté,auront arrêté,aurais arrêté,aurais arrêté,aurait arrêté,aurions arrêté,auriez arrêté,auraient arrêté,aie arrêté,aies arrêté,ait arrêté,ayons arrêté,ayez arrêté,aient arrêté,eusse arrêté,eusses arrêté,eût arrêté,eussions arrêté,eussiez arrêté,eussent arrêté,eus arrêté,eus arrêté,eut arrêté,eûmes arrêté,eûtes arrêté,eurent arrêté,aie arrêté,ayons arrêté,ayez arrêté,arrêtant
arriver,to arrive,False,arrive,arrives,arrive,arrivons,arrivez,arrivent,arrivais,arrivais,arrivait,arrivions,arriviez,arrivaient,arrivai,arrivas,arriva,arrivâmes,arrivâtes,arrivèrent,arriverai,arriveras,arrivera,arriverons,arriverez,arriveront,arriverais,arriverais,arriverait,arriverions,arriveriez,arriveraient,arrive,arrives,arrive,arrivions,arriviez,arrivent,arrivasse,arrivasses,arrivât,arrivassions,arrivassiez,arrivassent,arrive,arrivons,arrivez,suis arrivé,es arrivé,est arrivé,sommes arrivé,êtes arrivé,sont arrivé,étais arrivé,étais arrivé,était arrivé,étions arrivé,étiez arrivé,étaient arrivé,serai arrivé,seras arrivé,sera arrivé,serons arrivé,serez arrivé,seront arrivé,serais arrivé,serais arrivé,serait arrivé,serions arrivé,seriez arrivé,seraient arrivé,sois arrivé,sois arrivé,soit arrivé,soyons arrivé,soyez arrivé,soient arrivé,fusse arrivé,fusses arrivé,fût arrivé,fussions arrivé,fussiez arrivé,fussent arrivé,fus arrivé,fus arrivé,fut arrivé,fûmes arrivé,fûtes arrivé,fûrent arrivé,sois arrivé,soyons arrivé,soyez arrivé,arrivant
aménager,to fit,False,aménage,aménages,aménage,aménageons,aménagez,aménagent,aménageais,aménageais,aménageait,aménagions,aménagiez,aménageaient,aménageai,aménageas,aménagea,aménageâmes,aménageâtes,aménagèrent,aménagerai,aménageras,aménagera,aménagerons,aménagerez,aménageront,aménagerais,aménagerais,aménagerait,aménagerions,aménageriez,aménageraient,aménage,aménages,aménage,aménagions,aménagiez,aménagent,aménageasse,aménageasses,aménageât,aménageassions,aménageassiez,aménageassent,aménage,aménageons,aménagez,ai aménagé,as aménagé,a aménagé,avons aménagé,avez aménagé,ont aménagé,avais aménagé,avais aménagé,avait aménagé,avions aménagé,aviez aménagé,avaient aménagé,aurai aménagé,auras aménagé,aura aménagé,aurons aménagé,aurez aménagé,auront aménagé,aurais aménagé,aurais aménagé,aurait aménagé,aurions aménagé,auriez aménagé,auraient aménagé,aie aménagé,aies aménagé,ait aménagé,ayons aménagé,ayez aménagé,aient aménagé,eusse aménagé,eusses aménagé,eût aménagé,eussions aménagé,eussiez aménagé,eussent aménagé,eus aménagé,eus aménagé,eut aménagé,eûmes aménagé,eûtes aménagé,eurent aménagé,aie aménagé,ayons aménagé,ayez aménagé,aménageant
amuser,to amuse,False,amuse,amuses,amuse,amusons,amusez,amusent,amusais,amusais,amusait,amusions,amusiez,amusaient,amusai,amusas,amusa,amusâmes,amusâtes,amusèrent,amuserai,amuseras,amusera,amuserons,amuserez,amuseront,amuserais,amuserais,amuserait,amuserions,amuseriez,amuseraient,amuse,amuses,amuse,amusions,amusiez,amusent,amusasse,amusasses,amusât,amusassions,amusassiez,amusassent,amuse,amusons,amusez,ai amusé,as amusé,a amusé,avons amusé,avez amusé,ont amusé,avais amusé,avais amusé,avait amusé,avions amusé,aviez amusé,avaient amusé,aurai amusé,auras amusé,aura amusé,aurons amusé,aurez amusé,auront amusé,aurais amusé,aurais amusé,aurait amusé,aurions amusé,auriez amusé,auraient amusé,aie amusé,aies amusé,ait amusé,ayons amusé,ayez amusé,aient amusé,eusse amusé,eusses amusé,eût amusé,eussions amusé,eussiez amusé,eussent amusé,eus amusé,eus amusé,eut amusé,eûmes amusé,eûtes amusé,eurent amusé,aie amusé,ayons amusé,ayez amusé,amusant
assaillir,to assail,True,assaille,assailles,assaille,assaillons,assaillez,assaillent,assaillais,assaillais,assaillait,assaillions,assailliez,assaillaient,assaillis,assaillis,assaillit,assaillîmes,assaillîtes,assaillirent,assaillirai,assailliras,assaillira,assaillirons,assaillirez,assailliront,assaillirais,assaillirais,assaillirait,assaillirions,assailliriez,assailliraient,assaille,assailles,assaille,assaillions,assailliez,assaillent,assaillisse,assaillisses,assaillît,assaillissions,assaillissiez,assaillissent,assaille,assaillons,assaillez,ai assailli,as assailli,a assailli,avons assailli,avez assailli,ont assailli,avais assailli,avais assailli,avait assailli,avions assailli,aviez assailli,avaient assailli,aurai assailli,auras assailli,aura assailli,aurons assailli,aurez assailli,auront assailli,aurais assailli,aurais assailli,aurait assailli,aurions assailli,auriez assailli,auraient assailli,aie assailli,aies assailli,ait assailli,ayons assailli,ayez assailli,aient assailli,eusse assailli,eusses assailli,eût assailli,eussions assailli,eussiez assailli,eussent assailli,eus assailli,eus assailli,eut assailli,eûmes assailli,eûtes assailli,eurent assailli,aie assailli,ayons assailli,ayez assailli,assaillant
balayer,to sweep,False,balaye;balaie,balayes;balaies,balaye;balaie,balayons,balayez,balayent;balaient,balayais,balayais,balayait,balayions,balayiez,balayaient,balayai,balayas,balaya,balayâmes,balayâtes,balayèrent,balayerai;balaierai,balayeras;balaieras,balayera;balaiera,balayerons;balaierons,balayerez;balaierez,balayeront;balaieront,balayerais;balaierais,balayerais;balaierais,balayerait;balaierait,balayerions;balaierions,balayeriez;balaieriez,balayeraient;balaieraient,balaye;balaie,balayes;balaies,balaye;balaie,balayions,balayiez,balayent;balaient,balayasse,balayasses,balayât,balayassions,balayassiez,balayassent,balaye;balaie,balayons,balayez,ai balayé,as balayé,a balayé,avons balayé,avez balayé,ont balayé,avais balayé,avais balayé,avait balayé,avions balayé,aviez balayé,avaient balayé,aurai balayé,auras balayé,aura balayé,aurons balayé,aurez balayé,auront balayé,aurais balayé,aurais balayé,aurait balayé,aurions balayé,auriez balayé,auraient balayé,aie balayé,aies balayé,ait balayé,ayons balayé,ayez balayé,aient balayé,eusse balayé,eusses balayé,eût balayé,eussions balayé,eussiez balayé,eussent balayé,eus balayé,eus balayé,eut balayé,eûmes balayé,eûtes balayé,eurent balayé,aie balayé,ayons balayé,ayez balayé,balayant
attirer,to attract,False,attire,attires,attire,attirons,attirez,attirent,attirais,attirais,attirait,attirions,attiriez,attiraient,attirai,attiras,attira,attirâmes,attirâtes,attirèrent,attirerai,attireras,attirera,attirerons,attirerez,attireront,attirerais,attirerais,attirerait,attirerions,attireriez,attireraient,attire,attires,attire,attirions,attiriez,attirent,attirasse,attirasses,attirât,attirassions,attirassiez,attirassent,attire,attirons,attirez,ai attiré,as attiré,a attiré,avons attiré,avez attiré,ont attiré,avais attiré,avais attiré,avait attiré,avions attiré,aviez attiré,avaient attiré,aurai attiré,auras attiré,aura attiré,aurons attiré,aurez attiré,auront attiré,aurais attiré,aurais attiré,aurait attiré,aurions attiré,auriez attiré,auraient attiré,aie attiré,aies attiré,ait attiré,ayons attiré,ayez attiré,aient attiré,eusse attiré,eusses attiré,eût attiré,eussions attiré,eussiez attiré,eussent attiré,eus attiré,eus attiré,eut attiré,eûmes attiré,eûtes attiré,eurent attiré,aie attiré,ayons attiré,ayez attiré,attirant
bêler,to whine (like a sheep),False,bêle,bêles,bêle,bêlons,bêlez,bêlent,bêlais,bêlais,bêlait,bêlions,bêliez,bêlaient,bêlai,bêlas,bêla,bêlâmes,bêlâtes,bêlèrent,bêlerai,bêleras,bêlera,bêlerons,bêlerez,bêleront,bêlerais,bêlerais,bêlerait,bêlerions,bêleriez,bêleraient,bêle,bêles,bêle,bêlions,bêliez,bêlent,bêlasse,bêlasses,bêlât,bêlassions,bêlassiez,bêlassent,bêle,bêlons,bêlez,ai bêlé,as bêlé,a bêlé,avons bêlé,avez bêlé,ont bêlé,avais bêlé,avais bêlé,avait bêlé,avions bêlé,aviez bêlé,avaient bêlé,aurai bêlé,auras bêlé,aura bêlé,aurons bêlé,aurez bêlé,auront bêlé,aurais bêlé,aurais bêlé,aurait bêlé,aurions bêlé,auriez bêlé,auraient bêlé,aie bêlé,aies bêlé,ait bêlé,ayons bêlé,ayez bêlé,aient bêlé,eusse bêlé,eusses bêlé,eût bêlé,eussions bêlé,eussiez bêlé,eussent bêlé,eus bêlé,eus bêlé,eut bêlé,eûmes bêlé,eûtes bêlé,eurent bêlé,aie bêlé,ayons bêlé,ayez bêlé,bêlant
battre,to beat,True,bats,bats,bat,battons,battez,battent,battais,battais,battait,battions,battiez,battaient,battis,battis,battit,battîmes,battîtes,battirent,battrai,battras,battra,battrons,battrez,battront,battrais,battrais,battrait,battrions,battriez,battraient,batte,battes,batte,battions,battiez,battent,battisse,battisses,battît,battissions,battissiez,battissent,bats,battons,battez,ai battu,as battu,a battu,avons battu,avez battu,ont battu,avais battu,avais battu,avait battu,avions battu,aviez battu,avaient battu,aurai battu,auras battu,aura battu,aurons battu,aurez battu,auront battu,aurais battu,aurais battu,aurait battu,aurions battu,auriez battu,auraient battu,aie battu,aies battu,ait battu,ayons battu,ayez battu,aient battu,eusse battu,eusses battu,eût battu,eussions battu,eussiez battu,eussent battu,eus battu,eus battu,eut battu,eûmes battu,eûtes battu,eurent battu,aie battu,ayons battu,ayez battu,battant
bénir,to bless,False,bénis,bénis,bénit,bénissons,bénissez,bénissent,bénissais,bénissais,bénissait,bénissions,bénissiez,bénissaient,bénis,bénis,bénit,bénîmes,bénîtes,bénirent,bénirai,béniras,bénira,bénirons,bénirez,béniront,bénirais,bénirais,bénirait,bénirions,béniriez,béniraient,bénisse,bénisses,bénisse,bénissions,bénissiez,bénissent,bénisse,bénisses,bénît,bénissions,bénissiez,bénissent,bénis,bénissons,bénissez,ai béni,as béni,a béni,avons béni,avez béni,ont béni,avais béni,avais béni,avait béni,avions béni,aviez béni,avaient béni,aurai béni,auras béni,aura béni,aurons béni,aurez béni,auront béni,aurais béni,aurais béni,aurait béni,aurions béni,auriez béni,auraient béni,aie béni,aies béni,ait béni,ayons béni,ayez béni,aient béni,eusse béni,eusses béni,eût béni,eussions béni,eussiez béni,eussent béni,eus béni,eus béni,eut béni,eûmes béni,eûtes béni,eurent béni,aie béni,ayons béni,ayez béni,bénissant
baisser,to lower,False,baisse,baisses,baisse,baissons,baissez,baissent,baissais,baissais,baissait,baissions,baissiez,baissaient,baissai,baissas,baissa,baissâmes,baissâtes,baissèrent,baisserai,baisseras,baissera,baisserons,baisserez,baisseront,baisserais,baisserais,baisserait,baisserions,baisseriez,baisseraient,baisse,baisses,baisse,baissions,baissiez,baissent,baissasse,baissasses,baissât,baissassions,baissassiez,baissassent,baisse,baissons,baissez,ai baissé,as baissé,a baissé,avons baissé,avez baissé,ont baissé,avais baissé,avais baissé,avait baissé,avions baissé,aviez baissé,avaient baissé,aurai baissé,auras baissé,aura baissé,aurons baissé,aurez baissé,auront baissé,aurais baissé,aurais baissé,aurait baissé,aurions baissé,auriez baissé,auraient baissé,aie baissé,aies baissé,ait baissé,ayons baissé,ayez baissé,aient baissé,eusse baissé,eusses baissé,eût baissé,eussions baissé,eussiez baissé,eussent baissé,eus baissé,eus baissé,eut baissé,eûmes baissé,eûtes baissé,eurent baissé,aie baissé,ayons baissé,ayez baissé,baissant
bâtir,to build,False,bâtis,bâtis,bâtit,bâtissons,bâtissez,bâtissent,bâtissais,bâtissais,bâtissait,bâtissions,bâtissiez,bâtissaient,bâtis,bâtis,bâtit,bâtîmes,bâtîtes,bâtirent,bâtirai,bâtiras,bâtira,bâtirons,bâtirez,bâtiront,bâtirais,bâtirais,bâtirait,bâtirions,bâtiriez,bâtiraient,bâtisse,bâtisses,bâtisse,bâtissions,bâtissiez,bâtissent,bâtisse,bâtisses,bâtît,bâtissions,bâtissiez,bâtissent,bâtis,bâtissons,bâtissez,ai bâti,as bâti,a bâti,avons bâti,avez bâti,ont bâti,avais bâti,avais bâti,avait bâti,avions bâti,aviez bâti,avaient bâti,aurai bâti,auras bâti,aura bâti,aurons bâti,aurez bâti,auront bâti,aurais bâti,aurais bâti,aurait bâti,aurions bâti,auriez bâti,auraient bâti,aie bâti,aies bâti,ait bâti,ayons bâti,ayez bâti,aient bâti,eusse bâti,eusses bâti,eût bâti,eussions bâti,eussiez bâti,eussent bâti,eus bâti,eus bâti,eut bâti,eûmes bâti,eûtes bâti,eurent bâti,aie bâti,ayons bâti,ayez bâti,bâtissant
avoir,to have,True,ai,as,a,avons,avez,ont,avais,avais,avait,avions,aviez,avaient,eus,eus,eut,eûmes,eûtes,eurent,aurai,auras,aura,aurons,aurez,auront,aurais,aurais,aurait,aurions,auriez,auraient,aie,aies,ait,ayons,ayez,aient,eusse,eusses,eût,eussions,eussiez,eussent,aie,ayons,ayez,ai eu,as eu,a eu,avons eu,avez eu,ont eu,avais eu,avais eu,avait eu,avions eu,aviez eu,avaient eu,aurai eu,auras eu,aura eu,aurons eu,aurez eu,auront eu,aurais eu,aurais eu,aurait eu,aurions eu,auriez eu,auraient eu,aie eu,aies eu,ait eu,ayons eu,ayez eu,aient eu,eusse eu,eusses eu,eût eu,eussions eu,eussiez eu,eussent eu,eus eu,eus eu,eut eu,eûmes eu,eûtes eu,eurent eu,aie eu,ayons eu,ayez eu,ayant
blâmer,to blame,False,blâme,blâmes,blâme,blâmons,blâmez,blâment,blâmais,blâmais,blâmait,blâmions,blâmiez,blâmaient,blâmai,blâmas,blâma,blâmâmes,blâmâtes,blâmèrent,blâmerai,blâmeras,blâmera,blâmerons,blâmerez,blâmeront,blâmerais,blâmerais,blâmerait,blâmerions,blâmeriez,blâmeraient,blâme,blâmes,blâme,blâmions,blâmiez,blâment,blâmasse,blâmasses,blâmât,blâmassions,blâmassiez,blâmassent,blâme,blâmons,blâmez,ai blâmé,as blâmé,a blâmé,avons blâmé,avez blâmé,ont blâmé,avais blâmé,avais blâmé,avait blâmé,avions blâmé,aviez blâmé,avaient blâmé,aurai blâmé,auras blâmé,aura blâmé,aurons blâmé,aurez blâmé,auront blâmé,aurais blâmé,aurais blâmé,aurait blâmé,aurions blâmé,auriez blâmé,auraient blâmé,aie blâmé,aies blâmé,ait blâmé,ayons blâmé,ayez blâmé,aient blâmé,eusse blâmé,eusses blâmé,eût blâmé,eussions blâmé,eussiez blâmé,eussent blâmé,eus blâmé,eus blâmé,eut blâmé,eûmes blâmé,eûtes blâmé,eurent blâmé,aie blâmé,ayons blâmé,ayez blâmé,blâmant
balancer,to sway,False,balance,balances,balance,balançons,balancez,balancent,balançais,balançais,balançait,balancions,balanciez,balançaient,balançai,balanças,balança,balançâmes,balançâtes,balancèrent,balancerai,balanceras,balancera,balancerons,balancerez,balanceront,balancerais,balancerais,balancerait,balancerions,balanceriez,balanceraient,balance,balances,balance,balancions,balanciez,balancent,balançasse,balançasses,balançât,balançassions,balançassiez,balançassent,balance,balançons,balancez,ai balancé,as balancé,a balancé,avons balancé,avez balancé,ont balancé,avais balancé,avais balancé,avait balancé,avions balancé,aviez balancé,avaient balancé,aurai balancé,auras balancé,aura balancé,aurons balancé,aurez balancé,auront balancé,aurais balancé,aurais balancé,aurait balancé,aurions balancé,auriez balancé,auraient balancé,aie balancé,aies balancé,ait balancé,ayons balancé,ayez balancé,aient balancé,eusse balancé,eusses balancé,eût balancé,eussions balancé,eussiez balancé,eussent balancé,eus balancé,eus balancé,eut balancé,eûmes balancé,eûtes balancé,eurent balancé,aie balancé,ayons balancé,ayez balancé,balançant
blaguer,to joke,False,blague,blagues,blague,blaguons,blaguez,blaguent,blaguais,blaguais,blaguait,blaguions,blaguiez,blaguaient,blaguai,blaguas,blagua,blaguâmes,blaguâtes,blaguèrent,blaguerai,blagueras,blaguera,blaguerons,blaguerez,blagueront,blaguerais,blaguerais,blaguerait,blaguerions,blagueriez,blagueraient,blague,blagues,blague,blaguions,blaguiez,blaguent,blaguasse,blaguasses,blaguât,blaguassions,blaguassiez,blaguassent,blague,blaguons,blaguez,ai blagué,as blagué,a blagué,avons blagué,avez blagué,ont blagué,avais blagué,avais blagué,avait blagué,avions blagué,aviez blagué,avaient blagué,aurai blagué,auras blagué,aura blagué,aurons blagué,aurez blagué,auront blagué,aurais blagué,aurais blagué,aurait blagué,aurions blagué,auriez blagué,auraient blagué,aie blagué,aies blagué,ait blagué,ayons blagué,ayez blagué,aient blagué,eusse blagué,eusses blagué,eût blagué,eussions blagué,eussiez blagué,eussent blagué,eus blagué,eus blagué,eut blagué,eûmes blagué,eûtes blagué,eurent blagué,aie blagué,ayons blagué,ayez blagué,blaguant
aventurer,to venture,False,aventure,aventures,aventure,aventurons,aventurez,aventurent,aventurais,aventurais,aventurait,aventurions,aventuriez,aventuraient,aventurai,aventuras,aventura,aventurâmes,aventurâtes,aventurèrent,aventurerai,aventureras,aventurera,aventurerons,aventurerez,aventureront,aventurerais,aventurerais,aventurerait,aventurerions,aventureriez,aventureraient,aventure,aventures,aventure,aventurions,aventuriez,aventurent,aventurasse,aventurasses,aventurât,aventurassions,aventurassiez,aventurassent,aventure,aventurons,aventurez,ai aventuré,as aventuré,a aventuré,avons aventuré,avez aventuré,ont aventuré,avais aventuré,avais aventuré,avait aventuré,avions aventuré,aviez aventuré,avaient aventuré,aurai aventuré,auras aventuré,aura aventuré,aurons aventuré,aurez aventuré,auront aventuré,aurais aventuré,aurais aventuré,aurait aventuré,aurions aventuré,auriez aventuré,auraient aventuré,aie aventuré,aies aventuré,ait aventuré,ayons aventuré,ayez aventuré,aient aventuré,eusse aventuré,eusses aventuré,eût aventuré,eussions aventuré,eussiez aventuré,eussent aventuré,eus aventuré,eus aventuré,eut aventuré,eûmes aventuré,eûtes aventuré,eurent aventuré,aie aventuré,ayons aventuré,ayez aventuré,aventurant
