infinitive,infinitive_english,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,future 1p-s,future 2p-s,future 3p-s,future 1p-p,future 2p-p,future 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,preterite 1p-s,preterite 2p-s,preterite 3p-s,preterite 1p-p,preterite 2p-p,preterite 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,present perfect 1p-s,present perfect 2p-s,present perfect 3p-s,present perfect 1p-p,present perfect 2p-p,present perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,preterite perfect 1p-s,preterite perfect 2p-s,preterite perfect 3p-s,preterite perfect 1p-p,preterite perfect 2p-p,preterite perfect 3p-p,conditional perfect 1p-s,conditional perfect 2p-s,conditional perfect 3p-s,conditional perfect 1p-p,conditional perfect 2p-p,conditional perfect 3p-p,subjunctive present 1p-s,subjunctive present 2p-s,subjunctive present 3p-s,subjunctive present 1p-p,subjunctive present 2p-p,subjunctive present 3p-p,subjunctive imperfect 1p-s,subjunctive imperfect 2p-s,subjunctive imperfect 3p-s,subjunctive imperfect 1p-p,subjunctive imperfect 2p-p,subjunctive imperfect 3p-p,subjunctive future 1p-s,subjunctive future 2p-s,subjunctive future 3p-s,subjunctive future 1p-p,subjunctive future 2p-p,subjunctive future 3p-p,subjunctive present perfect 1p-s,subjunctive present perfect 2p-s,subjunctive present perfect 3p-s,subjunctive present perfect 1p-p,subjunctive present perfect 2p-p,subjunctive present perfect 3p-p,subjunctive future perfect 1p-s,subjunctive future perfect 2p-s,subjunctive future perfect 3p-s,subjunctive future perfect 1p-p,subjunctive future perfect 2p-p,subjunctive future perfect 3p-p,subjunctive past perfect 1p-s,subjunctive past perfect 2p-s,subjunctive past perfect 3p-s,subjunctive past perfect 1p-p,subjunctive past perfect 2p-p,subjunctive past perfect 3p-p,imperative affirmative present 1p-s,imperative affirmative present 2p-s,imperative affirmative present 3p-s,imperative affirmative present 1p-p,imperative affirmative present 2p-p,imperative affirmative present 3p-p,imperative negative present 1p-s,imperative negative present 2p-s,imperative negative present 3p-s,imperative negative present 1p-p,imperative negative present 2p-p,imperative negative present 3p-p
contaminar,to contaminate/pollute/corrupt,contamino,contaminas,contamina,contaminamos,contamináis,contaminan,cuento,cuentas,cuenta,contamos,contáis,cuentan,contaré,contarás,contará,contaremos,contaréis,contarán,contaba,contabas,contaba,contábamos,contabais,contaban,conté,contaste,contó,contamos,contasteis,contaron,contaría,contarías,contaría,contaríamos,contaríais,contarían,he contado,has contado,ha contado,hemos contado,habéis contado,han contado,habré contado,habrás contado,habrá contado,habremos contado,habréis contado,habrán contado,había contado,habías contado,había contado,habíamos contado,habíais contado,habían contado,hube contado,hubiste contado,hubo contado,hubimos contado,hubisteis contado,hubieron contado,habría contado,habrías contado,habría contado,habríamos contado,habríais contado,habrían contado,cuente,cuentes,cuente,contemos,contéis,cuenten,contara,contaras,contara,contáramos,contarais,contaran,contare,contares,contare,contáremos,contareis,contaren,haya contado,hayas contado,haya contado,hayamos contado,hayáis contado,hayan contado,hubiere contado,hubieres contado,hubiere contado,hubiéremos contado,hubiereis contado,hubieren contado,hubiera contado,hubieras contado,hubiera contado,hubiéramos contado,hubierais contado,hubieran contado,N/A,cuenta,contad,N/A,cuente,cuenten
contar,to count/relate/tell,cuento,cuentas,cuenta,contamos,contáis,cuentan,contengo,contienes,contiene,contenemos,contenéis,contienen,contendré,contendrás,contendrá,contendremos,contendréis,contendrán,contenía,contenías,contenía,conteníamos,conteníais,contenían,contuve,contuviste,contuvo,contuvimos,contuvisteis,contuvieron,contendría,contendrías,contendría,contendríamos,contendríais,contendrían,he contenido,has contenido,ha contenido,hemos contenido,habéis contenido,han contenido,habré contenido,habrás contenido,habrá contenido,habremos contenido,habréis contenido,habrán contenido,había contenido,habías contenido,había contenido,habíamos contenido,habíais contenido,habían contenido,hube contenido,hubiste contenido,hubo contenido,hubimos contenido,hubisteis contenido,hubieron contenido,habría contenido,habrías contenido,habría contenido,habríamos contenido,habríais contenido,habrían contenido,contenga,contengas,contenga,contengamos,contengáis,contengan,contuviera,contuvieras,contuviera,contuviéramos,contuvierais,contuvieran,contuviere,contuvieres,contuviere,contuviéremos,contuviereis,contuvieren,haya contenido,hayas contenido,haya contenido,hayamos contenido,hayáis contenido,hayan contenido,hubiere contenido,hubieres contenido,hubiere contenido,hubiéremos contenido,hubiereis contenido,hubieren contenido,hubiera contenido,hubieras contenido,hubiera contenido,hubiéramos contenido,hubierais contenido,hubieran contenido,N/A,contén,contened,N/A,contenga,contengan
contener,to contain/hold,contengo,contienes,contiene,contenemos,contenéis,contienen,contesto,contestas,contesta,contestamos,contestáis,contestan,contestaré,contestarás,contestará,contestaremos,contestaréis,contestarán,contestaba,contestabas,contestaba,contestábamos,contestabais,contestaban,contesté,contestaste,contestó,contestamos,contestasteis,contestaron,contestaría,contestarías,contestaría,contestaríamos,contestaríais,contestarían,he contestado,has contestado,ha contestado,hemos contestado,habéis contestado,han contestado,habré contestado,habrás contestado,habrá contestado,habremos contestado,habréis contestado,habrán contestado,había contestado,habías contestado,había contestado,habíamos contestado,habíais contestado,habían contestado,hube contestado,hubiste contestado,hubo contestado,hubimos contestado,hubisteis contestado,hubieron contestado,habría contestado,habrías contestado,habría contestado,habríamos contestado,habríais contestado,habrían contestado,conteste,contestes,conteste,contestemos,contestéis,contesten,contestara,contestaras,contestara,contestáramos,contestarais,contestaran,contestare,contestares,contestare,contestáremos,contestareis,contestaren,haya contestado,hayas contestado,haya contestado,hayamos contestado,hayáis contestado,hayan contestado,hubiere contestado,hubieres contestado,hubiere contestado,hubiéremos contestado,hubiereis contestado,hubieren contestado,hubiera contestado,hubieras contestado,hubiera contestado,hubiéramos contestado,hubierais contestado,hubieran contestado,N/A,contesta,contestad,N/A,conteste,contesten
contestar,to answer,contesto,contestas,contesta,contestamos,contestáis,contestan,continúo,continúas,continúa,continuamos,continuáis,continúan,continuaré,continuarás,continuará,continuaremos,continuaréis,continuarán,continuaba,continuabas,continuaba,continuábamos,continuabais,continuaban,continué,continuaste,continuó,continuamos,continuasteis,continuaron,continuaría,continuarías,continuaría,continuaríamos,continuaríais,continuarían,he continuado,has continuado,ha continuado,hemos continuado,habéis continuado,han continuado,habré continuado,habrás continuado,habrá continuado,habremos continuado,habréis continuado,habrán continuado,había continuado,habías continuado,había continuado,habíamos continuado,habíais continuado,habían continuado,hube continuado,hubiste continuado,hubo continuado,hubimos continuado,hubisteis continuado,hubieron continuado,habría continuado,habrías continuado,habría continuado,habríamos continuado,habríais continuado,habrían continuado,continúe,continúes,continúe,continuemos,continuéis,continúen,continuara,continuaras,continuara,continuáramos,continuarais,continuaran,continuare,continuares,continuare,continuáremos,continuareis,continuaren,haya continuado,hayas continuado,haya continuado,hayamos continuado,hayáis continuado,hayan continuado,hubiere continuado,hubieres continuado,hubiere continuado,hubiéremos continuado,hubiereis continuado,hubieren continuado,hubiera continuado,hubieras continuado,hubiera continuado,hubiéramos continuado,hubierais continuado,hubieran continuado,N/A,continúa,continuad,N/A,continúe,continúen
continuar,to continue,continúo,continúas,continúa,continuamos,continuáis,continúan,contribuyo,contribuyes,contribuye,contribuimos,contribuís,contribuyen,contribuiré,contribuirás,contribuirá,contribuiremos,contribuiréis,contribuirán,contribuía,contribuías,contribuía,contribuíamos,contribuíais,contribuían,contribuí,contribuiste,contribuyó,contribuimos,contribuisteis,contribuyeron,contribuiría,contribuirías,contribuiría,contribuiríamos,contribuiríais,contribuirían,he contribuido,has contribuido,ha contribuido,hemos contribuido,habéis contribuido,han contribuido,habré contribuido,habrás contribuido,habrá contribuido,habremos contribuido,habréis contribuido,habrán contribuido,había contribuido,habías contribuido,había contribuido,habíamos contribuido,habíais contribuido,habían contribuido,hube contribuido,hubiste contribuido,hubo contribuido,hubimos contribuido,hubisteis contribuido,hubieron contribuido,habría contribuido,habrías contribuido,habría contribuido,habríamos contribuido,habríais contribuido,habrían contribuido,contribuya,contribuyas,contribuya,contribuyamos,contribuyáis,contribuyan,contribuyera,contribuyeras,contribuyera,contribuyéramos,contribuyerais,contribuyeran,contribuyere,contribuyeres,contribuyere,contribuyéremos,contribuyereis,contribuyeren,haya contribuido,hayas contribuido,haya contribuido,hayamos contribuido,hayáis contribuido,hayan contribuido,hubiere contribuido,hubieres contribuido,hubiere contribuido,hubiéremos contribuido,hubiereis contribuido,hubieren contribuido,hubiera contribuido,hubieras contribuido,hubiera contribuido,hubiéramos contribuido,hubierais contribuido,hubieran contribuido,N/A,contribuye,contribuid,N/A,contribuya,contribuyan
contribuir,to contribute,contribuyo,contribuyes,contribuye,contribuimos,contribuís,contribuyen,controlo,controlas,controla,controlamos,controláis,controlan,controlaré,controlarás,controlará,controlaremos,controlaréis,controlarán,controlaba,controlabas,controlaba,controlábamos,controlabais,controlaban,controlé,controlaste,controló,controlamos,controlasteis,controlaron,controlaría,controlarías,controlaría,controlaríamos,controlaríais,controlarían,he controlado,has controlado,ha controlado,hemos controlado,habéis controlado,han controlado,habré controlado,habrás controlado,habrá controlado,habremos controlado,habréis controlado,habrán controlado,había controlado,habías controlado,había controlado,habíamos controlado,habíais controlado,habían controlado,hube controlado,hubiste controlado,hubo controlado,hubimos controlado,hubisteis controlado,hubieron controlado,habría controlado,habrías controlado,habría controlado,habríamos controlado,habríais controlado,habrían controlado,controle,controles,controle,controlemos,controléis,controlen,controlara,controlaras,controlara,controláramos,controlarais,controlaran,controlare,controlares,controlare,controláremos,controlareis,controlaren,haya controlado,hayas controlado,haya controlado,hayamos controlado,hayáis controlado,hayan controlado,hubiere controlado,hubieres controlado,hubiere controlado,hubiéremos controlado,hubiereis controlado,hubieren controlado,hubiera controlado,hubieras controlado,hubiera controlado,hubiéramos controlado,hubierais controlado,hubieran controlado,N/A,controla,controlad,N/A,controle,controlen
controlar,to control OR to inspect/check,controlo,controlas,controla,controlamos,controláis,controlan,convenzo,convences,convence,convencemos,convencéis,convencen,convenceré,convencerás,convencerá,convenceremos,convenceréis,convencerán,convencía,convencías,convencía,convencíamos,convencíais,convencían,convencí,convenciste,convenció,convencimos,convencisteis,convencieron,convencería,convencerías,convencería,convenceríamos,convenceríais,convencerían,he convencido,has convencido,ha convencido,hemos convencido,habéis convencido,han convencido,habré convencido,habrás convencido,habrá convencido,habremos convencido,habréis convencido,habrán convencido,había convencido,habías convencido,había convencido,habíamos convencido,habíais convencido,habían convencido,hube convencido,hubiste convencido,hubo convencido,hubimos convencido,hubisteis convencido,hubieron convencido,habría convencido,habrías convencido,habría convencido,habríamos convencido,habríais convencido,habrían convencido,convenza,convenzas,convenza,convenzamos,convenzáis,convenzan,convenciera,convencieras,convenciera,convenciéramos,convencierais,convencieran,convenciere,convencieres,convenciere,convenciéremos,convenciereis,convencieren,haya convencido,hayas convencido,haya convencido,hayamos convencido,hayáis convencido,hayan convencido,hubiere convencido,hubieres convencido,hubiere convencido,hubiéremos convencido,hubiereis convencido,hubieren convencido,hubiera convencido,hubieras convencido,hubiera convencido,hubiéramos convencido,hubierais convencido,hubieran convencido,N/A,convence,convenced,N/A,convenza,convenzan
convencer,to convince,convenzo,convences,convence,convencemos,convencéis,convencen,convengo,convienes,conviene,convenimos,convenís,convienen,convendré,convendrás,convendrá,convendremos,convendréis,convendrán,convenía,convenías,convenía,conveníamos,conveníais,convenían,convine,conviniste,convino,convinimos,convinisteis,convinieron,convendría,convendrías,convendría,convendríamos,convendríais,convendrían,he convenido,has convenido,ha convenido,hemos convenido,habéis convenido,han convenido,habré convenido,habrás convenido,habrá convenido,habremos convenido,habréis convenido,habrán convenido,había convenido,habías convenido,había convenido,habíamos convenido,habíais convenido,habían convenido,hube convenido,hubiste convenido,hubo convenido,hubimos convenido,hubisteis convenido,hubieron convenido,habría convenido,habrías convenido,habría convenido,habríamos convenido,habríais convenido,habrían convenido,convenga,convengas,convenga,convengamos,convengáis,convengan,conviniera,convinieras,conviniera,conviniéramos,convinierais,convinieran,conviniere,convinieres,conviniere,conviniéremos,conviniereis,convinieren,haya convenido,hayas convenido,haya convenido,hayamos convenido,hayáis convenido,hayan convenido,hubiere convenido,hubieres convenido,hubiere convenido,hubiéremos convenido,hubiereis convenido,hubieren convenido,hubiera convenido,hubieras convenido,hubiera convenido,hubiéramos convenido,hubierais convenido,hubieran convenido,N/A,convén,convenid,N/A,convenga,convengan
convenir,to agree OR to suit/be suited to OR to be good for,convengo,convienes,conviene,convenimos,convenís,convienen,converso,conversas,conversa,conversamos,conversáis,conversan,conversaré,conversarás,conversará,conversaremos,conversaréis,conversarán,conversaba,conversabas,conversaba,conversábamos,conversabais,conversaban,conversé,conversaste,conversó,conversamos,conversasteis,conversaron,conversaría,conversarías,conversaría,conversaríamos,conversaríais,conversarían,he conversado,has conversado,ha conversado,hemos conversado,habéis conversado,han conversado,habré conversado,habrás conversado,habrá conversado,habremos conversado,habréis conversado,habrán conversado,había conversado,habías conversado,había conversado,habíamos conversado,habíais conversado,habían conversado,hube conversado,hubiste conversado,hubo conversado,hubimos conversado,hubisteis conversado,hubieron conversado,habría conversado,habrías conversado,habría conversado,habríamos conversado,habríais conversado,habrían conversado,converse,converses,converse,conversemos,converséis,conversen,conversara,conversaras,conversara,conversáramos,conversarais,conversaran,conversare,conversares,conversare,conversáremos,conversareis,conversaren,haya conversado,hayas conversado,haya conversado,hayamos conversado,hayáis conversado,hayan conversado,hubiere conversado,hubieres conversado,hubiere conversado,hubiéremos conversado,hubiereis conversado,hubieren conversado,hubiera conversado,hubieras conversado,hubiera conversado,hubiéramos conversado,hubierais conversado,hubieran conversado,N/A,conversa,conversad,N/A,converse,conversen
conversar,to talk/converse OR to tell/relate,converso,conversas,conversa,conversamos,conversáis,conversan,convierto,conviertes,convierte,convertimos,convertís,convierten,corte,cortes,corte,cortemos,cortéis,corten,convertiré,convertirás,convertirá,convertiremos,convertiréis,convertirán,convertía,convertías,convertía,convertíamos,convertíais,convertían,convertí,convertiste,convirtió,convertimos,convertisteis,convirtieron,convertiría,convertirías,convertiría,convertiríamos,convertiríais,convertirían,he convertido,has convertido,ha convertido,hemos convertido,habéis convertido,han convertido,habré convertido,habrás convertido,habrá convertido,habremos convertido,habréis convertido,habrán convertido,había convertido,habías convertido,había convertido,habíamos convertido,habíais convertido,habían convertido,hube convertido,hubiste convertido,hubo convertido,hubimos convertido,hubisteis convertido,hubieron convertido,habría convertido,habrías convertido,habría convertido,habríamos convertido,habríais convertido,habrían convertido,convierta,conviertas,convierta,convirtamos,convirtáis,conviertan,convirtiera,convirtieras,convirtiera,convirtiéramos,convirtierais,convirtieran,convirtiere,convirtieres,convirtiere,convirtiéremos,convirtiereis,convirtieren,haya convertido,hayas convertido,haya convertido,hayamos convertido,hayáis convertido,hayan convertido,hubiere convertido,hubieres convertido,hubiere convertido,hubiéremos convertido,hubiereis convertido,hubieren convertido,hubiera convertido,hubieras convertido,hubiera convertido,hubiéramos convertido,hubierais convertido,hubieran convertido
convertir,to convert,convierto,conviertes,convierte,convertimos,convertís,convierten,N/A,no conviertas,no convirtáis,N/A,no convierta,no conviertan,convido,convidas,convida,convidamos,convidáis,convidan,convidaré,convidarás,convidará,convidaremos,convidaréis,convidarán,convidaba,convidabas,convidaba,convidábamos,convidabais,convidaban,convidé,convidaste,convidó,convidamos,convidasteis,convidaron,convidaría,convidarías,convidaría,convidaríamos,convidaríais,convidarían,he convidado,has convidado,ha convidado,hemos convidado,habéis convidado,han convidado,habré convidado,habrás convidado,habrá convidado,habremos convidado,habréis convidado,habrán convidado,había convidado,habías convidado,había convidado,habíamos convidado,habíais convidado,habían convidado,hube convidado,hubiste convidado,hubo convidado,hubimos convidado,hubisteis convidado,hubieron convidado,habría convidado,habrías convidado,habría convidado,habríamos convidado,habríais convidado,habrían convidado,convide,convides,convide,convidemos,convidéis,conviden,convidara,convidaras,convidara,convidáramos,convidarais,convidaran,convidare,convidares,convidare,convidáremos,convidareis,convidaren,haya convidado,hayas convidado,haya convidado,hayamos convidado,hayáis convidado,hayan convidado,hubiere convidado,hubieres convidado,hubiere convidado,hubiéremos convidado,hubiereis convidado,hubieren convidado,hubiera convidado,hubieras convidado,hubiera convidado,hubiéramos convidado,hubierais convidado,hubieran convidado
convidar,to invite,convido,convidas,convida,convidamos,convidáis,convidan,N/A,no convides,no convidéis,N/A,no convide,no conviden,copio,copias,copia,copiamos,copiáis,copian,copiaré,copiarás,copiará,copiaremos,copiaréis,copiarán,copiaba,copiabas,copiaba,copiábamos,copiabais,copiaban,copié,copiaste,copió,copiamos,copiasteis,copiaron,copiaría,copiarías,copiaría,copiaríamos,copiaríais,copiarían,he copiado,has copiado,ha copiado,hemos copiado,habéis copiado,han copiado,habré copiado,habrás copiado,habrá copiado,habremos copiado,habréis copiado,habrán copiado,había copiado,habías copiado,había copiado,habíamos copiado,habíais copiado,habían copiado,hube copiado,hubiste copiado,hubo copiado,hubimos copiado,hubisteis copiado,hubieron copiado,habría copiado,habrías copiado,habría copiado,habríamos copiado,habríais copiado,habrían copiado,copie,copies,copie,copiemos,copiéis,copien,copiara,copiaras,copiara,copiáramos,copiarais,copiaran,copiare,copiares,copiare,copiáremos,copiareis,copiaren,cortara,cortaras,cortara,cortáramos,cortarais,cortaran,haya copiado,hayas copiado,haya copiado,hayamos copiado,hayáis copiado,hayan copiado,hubiere copiado,hubieres copiado,hubiere copiado,hubiéremos copiado,hubiereis copiado,hubieren copiado
copiar,to copy,copio,copias,copia,copiamos,copiáis,copian,N/A,copia,copiad,N/A,copie,copien,N/A,no copies,no copiéis,N/A,no copie,no copien,corrijo,corriges,corrige,corregimos,corregís,corrigen,corregiré,corregirás,corregirá,corregiremos,corregiréis,corregirán,corregía,corregías,corregía,corregíamos,corregíais,corregían,corregí,corregiste,corrigió,corregimos,corregisteis,corrigieron,corregiría,corregirías,corregiría,corregiríamos,corregiríais,corregirían,he corregido,has corregido,ha corregido,hemos corregido,habéis corregido,han corregido,habré corregido,habrás corregido,habrá corregido,habremos corregido,habréis corregido,habrán corregido,había corregido,habías corregido,había corregido,habíamos corregido,habíais corregido,habían corregido,hube corregido,hubiste corregido,hubo corregido,hubimos corregido,hubisteis corregido,hubieron corregido,habría corregido,habrías corregido,habría corregido,habríamos corregido,habríais corregido,habrían corregido,corrija,corrijas,corrija,corrijamos,corrijáis,corrijan,corrigiera,corrigieras,corrigiera,corrigiéramos,corrigierais,corrigieran,corrigiere,corrigieres,corrigiere,corrigiéremos,corrigiereis,corrigieren,haya corregido,hayas corregido,haya corregido,hayamos corregido,hayáis corregido,hayan corregido,hubiere corregido,hubieres corregido,hubiere corregido,hubiéremos corregido,hubiereis corregido,hubieren corregido
corregir,to correct,corrijo,corriges,corrige,corregimos,corregís,corrigen,N/A,corrige,corregid,N/A,corrija,corrijan,N/A,no corrijas,no corrijáis,N/A,no corrija,no corrijan,corro,corres,corre,corremos,corréis,corren,correré,correrás,correrá,correremos,correréis,correrán,corría,corrías,corría,corríamos,corríais,corrían,corrí,corriste,corrió,corrimos,corristeis,corrieron,correría,correrías,correría,correríamos,correríais,correrían,he corrido,has corrido,ha corrido,hemos corrido,habéis corrido,han corrido,habré corrido,habrás corrido,habrá corrido,habremos corrido,habréis corrido,habrán corrido,había corrido,habías corrido,había corrido,habíamos corrido,habíais corrido,habían corrido,hube corrido,hubiste corrido,hubo corrido,hubimos corrido,hubisteis corrido,hubieron corrido,habría corrido,habrías corrido,habría corrido,habríamos corrido,habríais corrido,habrían corrido,corra,corras,corra,corramos,corráis,corran,corriera,corrieras,corriera,corriéramos,corrierais,corrieran,corriere,corrieres,corriere,corriéremos,corriereis,corrieren,haya corrido,hayas corrido,haya corrido,hayamos corrido,hayáis corrido,hayan corrido,hubiere corrido,hubieres corrido,hubiere corrido,hubiéremos corrido,hubiereis corrido,hubieren corrido
correr,to run,corro,corres,corre,corremos,corréis,corren,N/A,corre,corred,N/A,corra,corran,N/A,no corras,no corráis,N/A,no corra,no corran,corto,cortas,corta,cortamos,cortáis,cortan,cortaré,cortarás,cortará,cortaremos,cortaréis,cortarán,cortaba,cortabas,cortaba,cortábamos,cortabais,cortaban,corté,cortaste,cortó,cortamos,cortasteis,cortaron,cortaría,cortarías,cortaría,cortaríamos,cortaríais,cortarían,he cortado,has cortado,ha cortado,hemos cortado,habéis cortado,han cortado,habré cortado,habrás cortado,habrá cortado,habremos cortado,habréis cortado,habrán cortado,había cortado,habías cortado,había cortado,habíamos cortado,habíais cortado,habían cortado,hube cortado,hubiste cortado,hubo cortado,hubimos cortado,hubisteis cortado,hubieron cortado,habría cortado,habrías cortado,habría cortado,habríamos cortado,habríais cortado,habrían cortado,haya cortado,hayas cortado,haya cortado,hayamos cortado,hayáis cortado,hayan cortado,hubiere cortado,hubieres cortado,hubiere cortado,hubiéremos cortado,hubiereis cortado,hubieren cortado,hubiera cortado,hubieras cortado,hubiera cortado,hubiéramos cortado,hubierais cortado,hubieran cortado,N/A,corta,cortad,N/A,corte,corten,N/A,no cortes,no cortéis,N/A,no corte,no corten
coser,to sew/sew up OR to stitch/stitch up,coso,coses,cose,cosemos,coséis,cosen,coseré,coserás,coserá,coseremos,coseréis,coserán,cosía,cosías,cosía,cosíamos,cosíais,cosían,cosí,cosiste,cosió,cosimos,cosisteis,cosieron,cosería,coserías,cosería,coseríamos,coseríais,coserían,he cosido,has cosido,ha cosido,hemos cosido,habéis cosido,han cosido,habré cosido,habrás cosido,habrá cosido,habremos cosido,habréis cosido,habrán cosido,había cosido,habías cosido,había cosido,habíamos cosido,habíais cosido,habían cosido,hube cosido,hubiste cosido,hubo cosido,hubimos cosido,hubisteis cosido,hubieron cosido,habría cosido,habrías cosido,habría cosido,habríamos cosido,habríais cosido,habrían cosido,cosa,cosas,cosa,cosamos,cosáis,cosan,cosiera,cosieras,cosiera,cosiéramos,cosierais,cosieran,cosiere,cosieres,cosiere,cosiéremos,cosiereis,cosieren,haya cosido,hayas cosido,haya cosido,hayamos cosido,hayáis cosido,hayan cosido,hubiere cosido,hubieres cosido,hubiere cosido,hubiéremos cosido,hubiereis cosido,hubieren cosido,hubiera cosido,hubieras cosido,hubiera cosido,hubiéramos cosido,hubierais cosido,hubieran cosido,N/A,cose,cosed,N/A,cosa,cosan,N/A,no cosas,no cosáis,N/A,no cosa,no cosan
costar,to cost,cuesto,cuestas,cuesta,costamos,costáis,cuestan,costaré,costarás,costará,costaremos,costaréis,costarán,costaba,costabas,costaba,costábamos,costabais,costaban,costé,costaste,costó,costamos,costasteis,costaron,costaría,costarías,costaría,costaríamos,costaríais,costarían,he costado,has costado,ha costado,hemos costado,habéis costado,han costado,habré costado,habrás costado,habrá costado,habremos costado,habréis costado,habrán costado,había costado,habías costado,había costado,habíamos costado,habíais costado,habían costado,hube costado,hubiste costado,hubo costado,hubimos costado,hubisteis costado,hubieron costado,habría costado,habrías costado,habría costado,habríamos costado,habríais costado,habrían costado,cueste,cuestes,cueste,costemos,costéis,cuesten,costara,costaras,costara,costáramos,costarais,costaran,costare,costares,costare,costáremos,costareis,costaren,haya costado,hayas costado,haya costado,hayamos costado,hayáis costado,hayan costado,hubiere costado,hubieres costado,hubiere costado,hubiéremos costado,hubiereis costado,hubieren costado,hubiera costado,hubieras costado,hubiera costado,hubiéramos costado,hubierais costado,hubieran costado,N/A,cuesta,costad,N/A,cueste,cuesten,N/A,no cuestes,no costéis,N/A,no cueste,no cuesten
crear,to create OR to make,creo,creas,crea,creamos,creáis,crean,crearé,crearás,creará,crearemos,crearéis,crearán,creaba,creabas,creaba,creábamos,creabais,creaban,creé,creaste,creó,creamos,creasteis,crearon,crearía,crearías,crearía,crearíamos,crearíais,crearían,he creado,has creado,ha creado,hemos creado,habéis creado,han creado,habré creado,habrás creado,habrá creado,habremos creado,habréis creado,habrán creado,había creado,habías creado,había creado,habíamos creado,habíais creado,habían creado,hube creado,hubiste creado,hubo creado,hubimos creado,hubisteis creado,hubieron creado,habría creado,habrías creado,habría creado,habríamos creado,habríais creado,habrían creado,cree,crees,cree,creemos,creéis,creen,creara,crearas,creara,creáramos,crearais,crearan,creare,creares,creare,creáremos,creareis,crearen,haya creado,hayas creado,haya creado,hayamos creado,hayáis creado,hayan creado,hubiere creado,hubieres creado,hubiere creado,hubiéremos creado,hubiereis creado,hubieren creado,hubiera creado,hubieras creado,hubiera creado,hubiéramos creado,hubierais creado,hubieran creado,N/A,crea,cread,N/A,cree,creen,N/A,no crees,no creéis,N/A,no cree,no creen
crecer,to grow,crezco,creces,crece,crecemos,crecéis,crecen,creceré,crecerás,crecerá,creceremos,creceréis,crecerán,crecía,crecías,crecía,crecíamos,crecíais,crecían,crecí,creciste,creció,crecimos,crecisteis,crecieron,crecería,crecerías,crecería,creceríamos,creceríais,crecerían,he crecido,has crecido,ha crecido,hemos crecido,habéis crecido,han crecido,habré crecido,habrás crecido,habrá crecido,habremos crecido,habréis crecido,habrán crecido,había crecido,habías crecido,había crecido,habíamos crecido,habíais crecido,habían crecido,hube crecido,hubiste crecido,hubo crecido,hubimos crecido,hubisteis crecido,hubieron crecido,habría crecido,habrías crecido,habría crecido,habríamos crecido,habríais crecido,habrían crecido,crezca,crezcas,crezca,crezcamos,crezcáis,crezcan,creciera,crecieras,creciera,creciéramos,crecierais,crecieran,creciere,crecieres,creciere,creciéremos,creciereis,crecieren,haya crecido,hayas crecido,haya crecido,hayamos crecido,hayáis crecido,hayan crecido,hubiere crecido,hubieres crecido,hubiere crecido,hubiéremos crecido,hubiereis crecido,hubieren crecido,hubiera crecido,hubieras crecido,hubiera crecido,hubiéramos crecido,hubierais crecido,hubieran crecido,N/A,crece,creced,N/A,crezca,crezcan,N/A,no crezcas,no crezcáis,N/A,no crezca,no crezcan
creer,to believe,creo,crees,cree,creemos,creéis,creen,creeré,creerás,creerá,creeremos,creeréis,creerán,creía,creías,creía,creíamos,creíais,creían,creí,creíste,creyó,creímos,creísteis,creyeron,creería,creerías,creería,creeríamos,creeríais,creerían,he creído,has creído,ha creído,hemos creído,habéis creído,han creído,habré creído,habrás creído,habrá creído,habremos creído,habréis creído,habrán creído,había creído,habías creído,había creído,habíamos creído,habíais creído,habían creído,hube creído,hubiste creído,hubo creído,hubimos creído,hubisteis creído,hubieron creído,habría creído,habrías creído,habría creído,habríamos creído,habríais creído,habrían creído,crea,creas,crea,creamos,creáis,crean,creyera,creyeras,creyera,creyéramos,creyerais,creyeran,creyere,creyeres,creyere,creyéremos,creyereis,creyeren,haya creído,hayas creído,haya creído,hayamos creído,hayáis creído,hayan creído,hubiere creído,hubieres creído,hubiere creído,hubiéremos creído,hubiereis creído,hubieren creído,hubiera creído,hubieras creído,hubiera creído,hubiéramos creído,hubierais creído,hubieran creído,N/A,cree,creed,N/A,crea,crean,N/A,no creas,no creáis,N/A,no crea,no crean
