infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,imperative 1p-s,past imperative 2p-s,imperative 3p-s,past imperative 1p-p,past imperative 2p-p,imperative 3p-p,gerund
abasourdir,to daze/bewilder,FALSE,abasourdis,abasourdis,abasourdit,abasourdissons,abasourdissez,abasourdissent,abasourdissais,abasourdissais,abasourdissait,abasourdissions,abasourdissiez,abasourdissaient,abasourdis,abasourdis,abasourdit,abasourdîmes,abasourdîtes,abasourdirent,abasourdirai,abasourdiras,abasourdira,abasourdirons,abasourdirez,abasourdiront,abasourdirais,abasourdirais,abasourdirait,abasourdirions,abasourdiriez,abasourdiraient,abasourdisse,abasourdisses,abasourdisse,abasourdissions,abasourdissiez,abasourdissent,abasourdisse,abasourdisses,abasourdît,abasourdissions,abasourdissiez,abasourdissent,N/A,abasourdis,N/A,abasourdissons,abasourdissez,N/A,ai abasourdi,as abasourdi,a abasourdi,avons abasourdi,avez abasourdi,ont abasourdi,avais abasourdi,avais abasourdi,avait abasourdi,avions abasourdi,aviez abasourdi,avaient abasourdi,aurai abasourdi,auras abasourdi,aura abasourdi,aurons abasourdi,aurez abasourdi,auront abasourdi,aurais abasourdi,aurais abasourdi,aurait abasourdi,aurions abasourdi,auriez abasourdi,auraient abasourdi,aie abasourdi,aies abasourdi,ait abasourdi,ayons abasourdi,ayez abasourdi,aient abasourdi,eusse abasourdi,eusses abasourdi,eût abasourdi,eussions abasourdi,eussiez abasourdi,eussent abasourdi,eus abasourdi,eus abasourdi,eut abasourdi,eûmes abasourdi,eûtes abasourdi,eurent abasourdi,N/A,aie abasourdi,N/A,ayons abasourdi,ayez abasourdi,N/A,abasourdissant
agir,to act,FALSE,agis,agis,agit,agissons,agissez,agissent,agissais,agissais,agissait,agissions,agissiez,agissaient,agis,agis,agit,agîmes,agîtes,agirent,agirai,agiras,agira,agirons,agirez,agiront,agirais,agirais,agirait,agirions,agiriez,agiraient,agisse,agisses,agisse,agissions,agissiez,agissent,agisse,agisses,agît,agissions,agissiez,agissent,N/A,agis,N/A,agissons,agissez,N/A,ai agi,as agi,a agi,avons agi,avez agi,ont agi,avais agi,avais agi,avait agi,avions agi,aviez agi,avaient agi,aurai agi,auras agi,aura agi,aurons agi,aurez agi,auront agi,aurais agi,aurais agi,aurait agi,aurions agi,auriez agi,auraient agi,aie agi,aies agi,ait agi,ayons agi,ayez agi,aient agi,eusse agi,eusses agi,eût agi,eussions agi,eussiez agi,eussent agi,eus agi,eus agi,eut agi,eûmes agi,eûtes agi,eurent agi,N/A,aie agi,N/A,ayons agi,ayez agi,N/A,agissant
agacer,to annoy,FALSE,agace,agaces,agace,agaçons,agacez,agacent,agaçais,agaçais,agaçait,agacions,agaciez,agaçaient,agaçai,agaças,agaça,agaçâmes,agaçâtes,agacèrent,agacerai,agaceras,agacera,agacerons,agacerez,agaceront,agacerais,agacerais,agacerait,agacerions,agaceriez,agaceraient,agace,agaces,agace,agacions,agaciez,agacent,agaçasse,agaçasses,agaçât,agaçassions,agaçassiez,agaçassent,N/A,agace,N/A,agaçons,agacez,N/A,ai agacé,as agacé,a agacé,avons agacé,avez agacé,ont agacé,avais agacé,avais agacé,avait agacé,avions agacé,aviez agacé,avaient agacé,aurai agacé,auras agacé,aura agacé,aurons agacé,aurez agacé,auront agacé,aurais agacé,aurais agacé,aurait agacé,aurions agacé,auriez agacé,auraient agacé,aie agacé,aies agacé,ait agacé,ayons agacé,ayez agacé,aient agacé,eusse agacé,eusses agacé,eût agacé,eussions agacé,eussiez agacé,eussent agacé,eus agacé,eus agacé,eut agacé,eûmes agacé,eûtes agacé,eurent agacé,N/A,aie agacé,N/A,ayons agacé,ayez agacé,N/A,agaçant
accompagner,to accompany,FALSE,accompagne,accompagnes,accompagne,accompagnons,accompagnez,accompagnent,accompagnais,accompagnais,accompagnait,accompagnions,accompagniez,accompagnaient,accompagnai,accompagnas,accompagna,accompagnâmes,accompagnâtes,accompagnèrent,accompagnerai,accompagneras,accompagnera,accompagnerons,accompagnerez,accompagneront,accompagnerais,accompagnerais,accompagnerait,accompagnerions,accompagneriez,accompagneraient,accompagne,accompagnes,accompagne,accompagnions,accompagniez,accompagnent,accompagnasse,accompagnasses,accompagnât,accompagnassions,accompagnassiez,accompagnassent,N/A,accompagne,N/A,accompagnons,accompagnez,N/A,ai accompagné,as accompagné,a accompagné,avons accompagné,avez accompagné,ont accompagné,avais accompagné,avais accompagné,avait accompagné,avions accompagné,aviez accompagné,avaient accompagné,aurai accompagné,auras accompagné,aura accompagné,aurons accompagné,aurez accompagné,auront accompagné,aurais accompagné,aurais accompagné,aurait accompagné,aurions accompagné,auriez accompagné,auraient accompagné,aie accompagné,aies accompagné,ait accompagné,ayons accompagné,ayez accompagné,aient accompagné,eusse accompagné,eusses accompagné,eût accompagné,eussions accompagné,eussiez accompagné,eussent accompagné,eus accompagné,eus accompagné,eut accompagné,eûmes accompagné,eûtes accompagné,eurent accompagné,N/A,aie accompagné,N/A,ayons accompagné,ayez accompagné,N/A,accompagnant
adorer,to adore,FALSE,adore,adores,adore,adorons,adorez,adorent,adorais,adorais,adorait,adorions,adoriez,adoraient,adorai,adoras,adora,adorâmes,adorâtes,adorèrent,adorerai,adoreras,adorera,adorerons,adorerez,adoreront,adorerais,adorerais,adorerait,adorerions,adoreriez,adoreraient,adore,adores,adore,adorions,adoriez,adorent,adorasse,adorasses,adorât,adorassions,adorassiez,adorassent,N/A,adore,N/A,adorons,adorez,N/A,ai adoré,as adoré,a adoré,avons adoré,avez adoré,ont adoré,avais adoré,avais adoré,avait adoré,avions adoré,aviez adoré,avaient adoré,aurai adoré,auras adoré,aura adoré,aurons adoré,aurez adoré,auront adoré,aurais adoré,aurais adoré,aurait adoré,aurions adoré,auriez adoré,auraient adoré,aie adoré,aies adoré,ait adoré,ayons adoré,ayez adoré,aient adoré,eusse adoré,eusses adoré,eût adoré,eussions adoré,eussiez adoré,eussent adoré,eus adoré,eus adoré,eut adoré,eûmes adoré,eûtes adoré,eurent adoré,N/A,aie adoré,N/A,ayons adoré,ayez adoré,N/A,adorant
ajouter,to add,FALSE,ajoute,ajoutes,ajoute,ajoutons,ajoutez,ajoutent,ajoutais,ajoutais,ajoutait,ajoutions,ajoutiez,ajoutaient,ajoutai,ajoutas,ajouta,ajoutâmes,ajoutâtes,ajoutèrent,ajouterai,ajouteras,ajoutera,ajouterons,ajouterez,ajouteront,ajouterais,ajouterais,ajouterait,ajouterions,ajouteriez,ajouteraient,ajoute,ajoutes,ajoute,ajoutions,ajoutiez,ajoutent,ajoutasse,ajoutasses,ajoutât,ajoutassions,ajoutassiez,ajoutassent,N/A,ajoute,N/A,ajoutons,ajoutez,N/A,ai ajouté,as ajouté,a ajouté,avons ajouté,avez ajouté,ont ajouté,avais ajouté,avais ajouté,avait ajouté,avions ajouté,aviez ajouté,avaient ajouté,aurai ajouté,auras ajouté,aura ajouté,aurons ajouté,aurez ajouté,auront ajouté,aurais ajouté,aurais ajouté,aurait ajouté,aurions ajouté,auriez ajouté,auraient ajouté,aie ajouté,aies ajouté,ait ajouté,ayons ajouté,ayez ajouté,aient ajouté,eusse ajouté,eusses ajouté,eût ajouté,eussions ajouté,eussiez ajouté,eussent ajouté,eus ajouté,eus ajouté,eut ajouté,eûmes ajouté,eûtes ajouté,eurent ajouté,N/A,aie ajouté,N/A,ayons ajouté,ayez ajouté,N/A,ajoutant
abstenir,to abstain,TRUE,abstiens,abstiens,abstient,abstenons,abstenez,abstiennent,abstenais,abstenais,abstenait,abstenions,absteniez,abstenaient,abstins,abstins,abstint,abstînmes,abstîntes,abstinrent,abstiendrai,abstiendras,abstiendra,abstiendrons,abstiendrez,abstiendront,abstiendrais,abstiendrais,abstiendrait,abstiendrions,abstiendriez,abstiendraient,abstienne,abstiennes,abstienne,abstenions,absteniez,abstiennent,abstinsse,abstinsses,abstînt,abstinssions,abstinssiez,abstinssent,N/A,abstiens,N/A,abstenons,abstenez,N/A,ai abstenu,as abstenu,a abstenu,avons abstenu,avez abstenu,ont abstenu,avais abstenu,avais abstenu,avait abstenu,avions abstenu,aviez abstenu,avaient abstenu,aurai abstenu,auras abstenu,aura abstenu,aurons abstenu,aurez abstenu,auront abstenu,aurais abstenu,aurais abstenu,aurait abstenu,aurions abstenu,auriez abstenu,auraient abstenu,aie abstenu,aies abstenu,ait abstenu,ayons abstenu,ayez abstenu,aient abstenu,eusse abstenu,eusses abstenu,eût abstenu,eussions abstenu,eussiez abstenu,eussent abstenu,eus abstenu,eus abstenu,eut abstenu,eûmes abstenu,eûtes abstenu,eurent abstenu,N/A,aie abstenu,N/A,ayons abstenu,ayez abstenu,N/A,abstenant
adresser,to address,FALSE,adresse,adresses,adresse,adressons,adressez,adressent,adressais,adressais,adressait,adressions,adressiez,adressaient,adressai,adressas,adressa,adressâmes,adressâtes,adressèrent,adresserai,adresseras,adressera,adresserons,adresserez,adresseront,adresserais,adresserais,adresserait,adresserions,adresseriez,adresseraient,adresse,adresses,adresse,adressions,adressiez,adressent,adressasse,adressasses,adressât,adressassions,adressassiez,adressassent,N/A,adresse,N/A,adressons,adressez,N/A,ai adressé,as adressé,a adressé,avons adressé,avez adressé,ont adressé,avais adressé,avais adressé,avait adressé,avions adressé,aviez adressé,avaient adressé,aurai adressé,auras adressé,aura adressé,aurons adressé,aurez adressé,auront adressé,aurais adressé,aurais adressé,aurait adressé,aurions adressé,auriez adressé,auraient adressé,aie adressé,aies adressé,ait adressé,ayons adressé,ayez adressé,aient adressé,eusse adressé,eusses adressé,eût adressé,eussions adressé,eussiez adressé,eussent adressé,eus adressé,eus adressé,eut adressé,eûmes adressé,eûtes adressé,eurent adressé,N/A,aie adressé,N/A,ayons adressé,ayez adressé,N/A,adressant
achever,to achieve,FALSE,achève,achèves,achève,achevons,achevez,achèvent,achevais,achevais,achevait,achevions,acheviez,achevaient,achevai,achevas,acheva,achevâmes,achevâtes,achevèrent,achèverai,achèveras,achèvera,achèverons,achèverez,achèveront,achèverais,achèverais,achèverait,achèverions,achèveriez,achèveraient,achève,achèves,achève,achevions,acheviez,achèvent,achevasse,achevasses,achevât,achevassions,achevassiez,achevassent,N/A,achève,N/A,achevons,achevez,N/A,ai achevé,as achevé,a achevé,avons achevé,avez achevé,ont achevé,avais achevé,avais achevé,avait achevé,avions achevé,aviez achevé,avaient achevé,aurai achevé,auras achevé,aura achevé,aurons achevé,aurez achevé,auront achevé,aurais achevé,aurais achevé,aurait achevé,aurions achevé,auriez achevé,auraient achevé,aie achevé,aies achevé,ait achevé,ayons achevé,ayez achevé,aient achevé,eusse achevé,eusses achevé,eût achevé,eussions achevé,eussiez achevé,eussent achevé,eus achevé,eus achevé,eut achevé,eûmes achevé,eûtes achevé,eurent achevé,N/A,aie achevé,N/A,ayons achevé,ayez achevé,N/A,achevant
abolir,to abolish,FALSE,abolis,abolis,abolit,abolissons,abolissez,abolissent,abolissais,abolissais,abolissait,abolissions,abolissiez,abolissaient,abolis,abolis,abolit,abolîmes,abolîtes,abolirent,abolirai,aboliras,abolira,abolirons,abolirez,aboliront,abolirais,abolirais,abolirait,abolirions,aboliriez,aboliraient,abolisse,abolisses,abolisse,abolissions,abolissiez,abolissent,abolisse,abolisses,abolît,abolissions,abolissiez,abolissent,N/A,abolis,N/A,abolissons,abolissez,N/A,ai aboli,as aboli,a aboli,avons aboli,avez aboli,ont aboli,avais aboli,avais aboli,avait aboli,avions aboli,aviez aboli,avaient aboli,aurai aboli,auras aboli,aura aboli,aurons aboli,aurez aboli,auront aboli,aurais aboli,aurais aboli,aurait aboli,aurions aboli,auriez aboli,auraient aboli,aie aboli,aies aboli,ait aboli,ayons aboli,ayez aboli,aient aboli,eusse aboli,eusses aboli,eût aboli,eussions aboli,eussiez aboli,eussent aboli,eus aboli,eus aboli,eut aboli,eûmes aboli,eûtes aboli,eurent aboli,N/A,aie aboli,N/A,ayons aboli,ayez aboli,N/A,abolissant
